,logit,prediction,sentiment_score,Date
29,[0.08998257 0.01151765 0.8984998 ],neutral,0.07846492,2021-03-24 10:42:48
30,[0.09208287 0.03855571 0.8693614 ],neutral,0.053527165,2021-03-24 10:21:23
31,[0.8243933  0.00641693 0.16918983],positive,0.81797636,2021-03-24 09:57:28
32,[0.16504018 0.04383129 0.7911285 ],neutral,0.12120889,2021-03-24 09:46:25
33,[0.92989653 0.03771218 0.03239124],positive,0.8921844,2021-03-24 07:28:33
34,[0.85433704 0.12014901 0.02551403],positive,0.734188,2021-03-23 18:56:13
35,[0.24149574 0.35254928 0.40595496],neutral,-0.11105354,2021-03-23 15:43:54
36,[0.03319084 0.45052767 0.5162815 ],neutral,-0.41733682,2021-03-23 12:25:01
37,[0.8902385  0.00999195 0.09976953],positive,0.8802466,2021-03-23 09:50:19
38,[0.80429757 0.00669896 0.18900348],positive,0.7975986,2021-03-23 07:24:51
39,[0.3598081  0.01840847 0.6217834 ],neutral,0.3413996,2021-03-22 22:38:33
40,[0.87008023 0.1006893  0.02923044],positive,0.76939094,2021-03-22 18:55:17
41,[0.30288798 0.01256481 0.68454725],neutral,0.29032317,2021-03-22 17:11:19
42,[0.04616958 0.02201663 0.9318138 ],neutral,0.024152946,2021-03-22 13:33:21
43,[0.16099904 0.02299322 0.8160078 ],neutral,0.13800582,2021-03-22 07:03:00
44,[0.1759287  0.2639447  0.56012666],neutral,-0.08801599,2021-03-21 20:52:00
45,[0.07593535 0.03234536 0.89171934],neutral,0.04358999,2021-03-21 20:36:00
46,[0.13169178 0.12421037 0.7440978 ],neutral,0.0074814186,2021-03-21 08:28:00
47,[0.3476993  0.24123922 0.41106153],neutral,0.106460094,2021-03-21 06:30:00
48,[0.8438594  0.00682979 0.14931084],positive,0.8370296,2021-03-20 08:30:00
49,[0.09239331 0.01683184 0.8907748 ],neutral,0.075561464,2021-03-20 03:53:26
50,[0.07437269 0.01213529 0.913492  ],neutral,0.062237397,2021-03-19 17:58:45
51,[0.84266216 0.11673293 0.04060493],positive,0.7259292,2021-03-19 16:09:03
52,[0.0262986  0.8730971  0.10060421],negative,-0.84679854,2021-03-19 14:44:00
53,[0.75656635 0.01454737 0.22888634],positive,0.742019,2021-03-19 14:00:19
54,[0.22345185 0.01318195 0.76336616],neutral,0.2102699,2021-03-19 13:23:21
55,[0.65647453 0.01786159 0.32566392],positive,0.6386129,2021-03-19 08:45:00
56,[0.30546197 0.07391993 0.6206181 ],neutral,0.23154205,2021-03-19 06:38:33
57,[0.05114178 0.04206753 0.9067907 ],neutral,0.009074252,2021-03-19 06:22:15
58,[0.2772525  0.01346134 0.70928615],neutral,0.26379114,2021-03-18 15:13:55
59,[0.08649837 0.01389469 0.89960694],neutral,0.07260368,2021-03-18 13:33:25
60,[0.7611014  0.01195788 0.22694065],positive,0.74914354,2021-03-18 12:50:46
61,[0.03902933 0.8824377  0.07853293],negative,-0.8434084,2021-03-18 10:33:18
62,[0.5391075  0.01247306 0.44841945],positive,0.52663445,2021-03-18 08:53:58
63,[0.01630522 0.91317827 0.07051656],negative,-0.89687306,2021-03-18 06:03:00
64,[0.2257596  0.00927528 0.7649651 ],neutral,0.21648431,2021-03-18 05:44:00
65,[0.7732184  0.06737053 0.159411  ],positive,0.70584786,2021-03-18 05:30:01
66,[0.90840375 0.01481443 0.07678183],positive,0.8935893,2021-03-18 05:16:26
67,[0.9393801  0.02772264 0.03289725],positive,0.91165745,2021-03-17 14:25:07
68,[0.03745529 0.04534183 0.91720283],neutral,-0.00788654,2021-03-17 12:25:01
69,[0.06272759 0.05538627 0.8818862 ],neutral,0.007341318,2021-03-17 11:46:06
70,[0.1456685  0.02179442 0.832537  ],neutral,0.12387408,2021-03-16 20:30:04
71,[0.8662044  0.09678842 0.03700723],positive,0.769416,2021-03-16 18:56:12
72,[0.43753514 0.5192496  0.04321527],negative,-0.08171448,2021-03-16 18:56:11
73,[0.08264945 0.02104524 0.89630526],neutral,0.0616042,2021-03-16 17:13:03
74,[0.3356077  0.04591196 0.6184803 ],neutral,0.28969574,2021-03-16 15:33:54
75,[0.13222665 0.01250058 0.8552728 ],neutral,0.11972607,2021-03-16 15:14:08
76,[0.02667118 0.9094538  0.06387504],negative,-0.88278264,2021-03-16 14:21:49
77,[0.06861582 0.02259842 0.90878576],neutral,0.04601741,2021-03-16 13:41:25
78,[0.28132355 0.32880598 0.38987046],neutral,-0.04748243,2021-03-16 12:59:00
79,[0.12311856 0.83823353 0.03864784],negative,-0.71511495,2021-03-16 12:44:35
80,[0.03574786 0.8125082  0.1517439 ],negative,-0.77676034,2021-03-16 11:37:00
81,[0.08182236 0.10867838 0.80949926],neutral,-0.02685602,2021-03-16 11:00:05
82,[0.06944428 0.01332991 0.91722584],neutral,0.056114376,2021-03-16 10:38:33
83,[0.41915652 0.01454738 0.56629604],neutral,0.40460914,2021-03-16 10:00:00
84,[0.07078201 0.02641304 0.9028049 ],neutral,0.044368975,2021-03-15 11:43:05
85,[0.03234663 0.04678493 0.92086846],neutral,-0.014438298,2021-03-15 08:00:00
86,[0.0443143 0.3376819 0.6180038],neutral,-0.2933676,2021-03-14 06:45:50
87,[0.30408108 0.46960855 0.22631039],negative,-0.16552746,2021-03-12 14:54:35
88,[0.1912762  0.601806   0.20691782],negative,-0.4105298,2021-03-12 14:14:33
89,[0.01846684 0.8192906  0.1622425 ],negative,-0.80082375,2021-03-12 13:39:13
90,[0.60141903 0.08562693 0.31295407],positive,0.51579213,2021-03-12 11:37:00
91,[0.07816109 0.27162853 0.65021044],neutral,-0.19346744,2021-03-12 11:11:57
92,[0.00846294 0.97007185 0.0214653 ],negative,-0.9616089,2021-03-12 08:17:19
93,[0.04356113 0.03931379 0.91712517],neutral,0.004247345,2021-03-12 05:51:00
94,[0.1848881  0.01110295 0.80400896],neutral,0.17378514,2021-03-11 16:04:06
95,[0.03425081 0.28960454 0.67614466],neutral,-0.25535375,2021-03-11 13:40:53
96,[0.29154852 0.00918975 0.6992617 ],neutral,0.28235877,2021-03-11 06:25:09
97,[0.03824845 0.4920543  0.46969718],negative,-0.45380586,2021-03-10 21:41:04
98,[0.01832842 0.93906486 0.04260665],negative,-0.92073643,2021-03-10 21:18:02
99,[0.86697626 0.00929465 0.12372911],positive,0.85768163,2021-03-10 14:04:51
100,[0.03978869 0.01969348 0.9405178 ],neutral,0.020095207,2021-03-10 11:30:11
101,[0.8786848  0.00695367 0.1143615 ],positive,0.87173116,2021-03-10 11:23:04
102,[0.72494954 0.00774823 0.26730222],positive,0.7172013,2021-03-10 09:36:03
103,[0.05877863 0.01182169 0.92939967],neutral,0.04695694,2021-03-10 09:06:11
104,[0.01884209 0.94509697 0.03606097],negative,-0.92625487,2021-03-10 08:42:00
105,[0.03390686 0.83890516 0.12718797],negative,-0.8049983,2021-03-10 06:27:58
106,[0.0727212  0.02307363 0.9042052 ],neutral,0.04964757,2021-03-09 19:50:04
107,[0.06151023 0.90585995 0.03262988],negative,-0.84434974,2021-03-09 14:58:08
108,[0.02392325 0.8586712  0.11740554],negative,-0.83474797,2021-03-09 08:36:30
109,[0.03510062 0.79962313 0.1652763 ],negative,-0.7645225,2021-03-09 05:01:37
110,[0.64321715 0.04916665 0.30761614],positive,0.5940505,2021-03-08 15:00:00
111,[0.05499637 0.01802611 0.9269775 ],neutral,0.03697026,2021-03-08 14:50:00
112,[0.9492596  0.01511484 0.03562559],positive,0.93414474,2021-03-08 12:22:00
113,[0.67463475 0.22870396 0.09666129],positive,0.44593078,2021-03-07 12:03:00
114,[0.03634895 0.13184047 0.83181053],neutral,-0.09549152,2021-03-06 05:59:22
115,[0.8786848  0.00695367 0.1143615 ],positive,0.87173116,2021-03-05 17:28:19
116,[0.30502874 0.13038695 0.5645843 ],neutral,0.17464179,2021-03-05 11:50:37
117,[0.9395884  0.01268428 0.04772721],positive,0.92690414,2021-03-05 07:38:18
118,[0.41739297 0.01730834 0.5652987 ],neutral,0.4000846,2021-03-04 21:19:00
119,[0.02057866 0.9224163  0.05700498],negative,-0.90183765,2021-03-04 19:30:05
120,[0.8941643  0.07311215 0.03272358],positive,0.8210522,2021-03-04 18:58:15
121,[0.12354644 0.00844947 0.86800414],neutral,0.11509697,2021-03-04 16:44:04
122,[0.05331388 0.03007591 0.91661024],neutral,0.023237972,2021-03-04 16:36:37
123,[0.64704084 0.09694538 0.25601384],positive,0.55009544,2021-03-04 16:19:23
124,[0.16818313 0.01212035 0.8196965 ],neutral,0.15606278,2021-03-04 14:44:05
125,[0.20483986 0.29028308 0.50487703],neutral,-0.08544323,2021-03-04 13:57:45
126,[0.04062688 0.29682347 0.6625496 ],neutral,-0.2561966,2021-03-04 11:03:19
127,[0.54061794 0.01089157 0.4484905 ],positive,0.5297264,2021-03-04 08:45:00
128,[0.28369433 0.12364946 0.59265625],neutral,0.16004488,2021-03-04 07:45:04
129,[0.03749003 0.02665926 0.9358507 ],neutral,0.010830764,2021-03-04 04:57:10
130,[0.8827011  0.01659894 0.10069996],positive,0.86610216,2021-03-03 23:09:24
131,[0.09379605 0.01167424 0.8945297 ],neutral,0.082121804,2021-03-03 19:45:02
132,[0.02878548 0.063211   0.90800357],neutral,-0.03442552,2021-03-03 18:09:00
133,[0.11429107 0.01193624 0.87377274],neutral,0.10235483,2021-03-03 17:33:34
134,[0.00987739 0.96123934 0.02888323],negative,-0.95136195,2021-03-03 17:00:13
135,[0.02147602 0.90894777 0.06957616],negative,-0.88747174,2021-03-03 16:21:57
136,[0.02923763 0.37052506 0.6002373 ],neutral,-0.34128743,2021-03-03 15:12:30
137,[0.25259444 0.71276927 0.03463629],negative,-0.46017483,2021-03-03 14:30:50
138,[0.01356602 0.8445053  0.14192858],negative,-0.8309393,2021-03-03 11:24:51
139,[0.05003292 0.03327084 0.9166963 ],neutral,0.016762078,2021-03-03 09:53:00
140,[0.08787964 0.01824846 0.8938719 ],neutral,0.069631174,2021-03-03 09:03:10
141,[0.02691245 0.04689726 0.92619026],neutral,-0.019984815,2021-03-02 17:58:51
142,[0.74615526 0.05000337 0.20384139],positive,0.6961519,2021-03-02 17:43:15
143,[0.06136395 0.01598513 0.9226509 ],neutral,0.045378827,2021-03-02 15:57:34
144,[0.30468315 0.0298684  0.6654485 ],neutral,0.27481475,2021-03-02 14:40:30
145,[0.10999248 0.01406306 0.87594444],neutral,0.09592943,2021-03-02 13:46:33
146,[0.04612062 0.01332807 0.94055134],neutral,0.03279255,2021-03-02 10:54:16
147,[0.8459677  0.00930479 0.14472754],positive,0.83666295,2021-03-02 07:32:00
148,[0.7491694  0.0094451  0.24138546],positive,0.73972434,2021-03-02 07:11:00
149,[0.04358438 0.01861407 0.9378016 ],neutral,0.024970308,2021-03-01 13:54:08
150,[0.00704619 0.9590569  0.03389694],negative,-0.95201075,2021-03-01 11:51:04
151,[0.0116092  0.9541423  0.03424852],negative,-0.9425331,2021-03-01 10:06:15
152,[0.9255626  0.02052286 0.0539145 ],positive,0.9050398,2021-03-01 09:30:00
153,[0.93915737 0.02279785 0.03804475],positive,0.91635954,2021-03-01 07:00:43
154,[0.04612353 0.7014066  0.25246993],negative,-0.6552831,2021-02-28 10:02:29
155,[0.31336918 0.0092106  0.6774202 ],neutral,0.3041586,2021-02-27 17:55:41
156,[0.19651295 0.23199417 0.5714929 ],neutral,-0.035481215,2021-02-26 17:31:36
157,[0.04061678 0.01620405 0.94317913],neutral,0.024412723,2021-02-26 14:17:16
158,[0.03871997 0.91845936 0.04282063],negative,-0.8797394,2021-02-26 12:27:47
159,[0.93617254 0.01445004 0.0493774 ],positive,0.92172253,2021-02-25 17:05:14
160,[0.01409855 0.9516663  0.03423514],negative,-0.9375678,2021-02-25 16:29:53
161,[0.09357307 0.6930671  0.21335985],negative,-0.599494,2021-02-25 15:02:46
162,[0.71906155 0.00759995 0.27333853],positive,0.7114616,2021-02-25 14:07:05
163,[0.4616461  0.01250858 0.52584535],neutral,0.44913754,2021-02-25 10:15:34
164,[0.8881305  0.00785334 0.10401615],positive,0.88027716,2021-02-25 09:00:46
165,[0.02615912 0.6315095  0.34233144],negative,-0.6053504,2021-02-25 06:05:00
166,[0.1531751  0.02320524 0.8236197 ],neutral,0.12996987,2021-02-25 04:06:29
167,[0.8752829  0.02026467 0.10445243],positive,0.8550182,2021-02-24 21:38:36
168,[0.642881   0.01439285 0.34272614],positive,0.6284881,2021-02-24 21:20:27
169,[0.03624079 0.85714465 0.10661461],negative,-0.82090384,2021-02-24 20:51:13
170,[0.7445619  0.01840404 0.23703408],positive,0.72615784,2021-02-24 20:35:00
171,[0.7910745  0.00877461 0.20015079],positive,0.7822999,2021-02-24 19:27:20
172,[0.7715273  0.04900911 0.17946357],positive,0.7225182,2021-02-24 15:13:00
173,[0.08747336 0.06622417 0.8463025 ],neutral,0.02124919,2021-02-24 08:00:00
174,[0.8585626  0.02642438 0.115013  ],positive,0.8321382,2021-02-23 21:58:00
175,[0.0164195  0.91336817 0.07021228],negative,-0.8969487,2021-02-23 14:08:00
176,[0.91616696 0.01415539 0.06967755],positive,0.9020116,2021-02-23 08:34:00
177,[0.18348464 0.08750546 0.72900987],neutral,0.095979184,2021-02-23 02:37:42
178,[0.8722076  0.02145309 0.1063393 ],positive,0.8507545,2021-02-22 22:28:00
179,[0.15298705 0.04415803 0.8028549 ],neutral,0.10882902,2021-02-22 19:40:00
180,[0.0254126  0.16811806 0.8064694 ],neutral,-0.14270546,2021-02-22 19:18:11
181,[0.040042   0.02178505 0.938173  ],neutral,0.018256944,2021-02-22 15:36:06
182,[0.06740378 0.02423437 0.90836185],neutral,0.04316941,2021-02-22 15:25:34
183,[0.01802634 0.95647925 0.02549442],negative,-0.9384529,2021-02-22 15:14:00
184,[0.04914657 0.01707883 0.9337746 ],neutral,0.03206773,2021-02-22 11:44:23
185,[0.9385694  0.02054714 0.04088343],positive,0.9180223,2021-02-21 22:04:34
186,[0.9208904  0.01042525 0.06868441],positive,0.9104651,2021-02-21 11:11:58
187,[0.01589562 0.95633924 0.02776512],negative,-0.94044363,2021-02-21 09:30:01
188,[0.13024347 0.025489   0.8442675 ],neutral,0.10475446,2021-02-20 14:17:00
189,[0.01430869 0.79995024 0.18574102],negative,-0.78564155,2021-02-20 13:37:03
190,[0.7586202  0.00995603 0.23142381],positive,0.74866414,2021-02-20 07:30:00
191,[0.03135556 0.88320714 0.08543725],negative,-0.8518516,2021-02-19 18:15:34
192,[0.0104949 0.9406921 0.048813 ],negative,-0.93019724,2021-02-19 17:29:00
193,[0.1985969 0.2085677 0.5928354],neutral,-0.009970799,2021-02-19 16:57:00
194,[0.6928166  0.14314012 0.16404323],positive,0.5496765,2021-02-19 12:14:01
195,[0.02902804 0.5414716  0.4295004 ],negative,-0.51244354,2021-02-19 08:45:41
196,[0.6968067  0.01351471 0.2896786 ],positive,0.68329203,2021-02-19 06:12:00
197,[0.07305577 0.36154088 0.56540334],neutral,-0.2884851,2021-02-18 23:49:00
198,[0.03841366 0.02830457 0.9332818 ],neutral,0.010109089,2021-02-18 17:40:38
199,[0.04867549 0.22118701 0.73013747],neutral,-0.17251152,2021-02-18 17:39:10
200,[0.04325279 0.04859768 0.90814954],neutral,-0.0053448863,2021-02-18 16:48:44
201,[0.10231666 0.57128483 0.3263985 ],negative,-0.46896818,2021-02-18 14:19:00
202,[0.8649287  0.01088441 0.12418681],positive,0.8540443,2021-02-18 12:08:13
203,[0.05205961 0.13911042 0.8088299 ],neutral,-0.08705081,2021-02-18 10:30:09
204,[0.8424966  0.00878722 0.14871623],positive,0.83370936,2021-02-18 07:45:00
205,[0.34479988 0.2413046  0.4138955 ],neutral,0.10349527,2021-02-18 05:34:58
206,[0.90723425 0.01035672 0.08240904],positive,0.8968775,2021-02-17 19:56:00
207,[0.05094714 0.64196193 0.3070909 ],negative,-0.5910148,2021-02-17 19:26:03
208,[0.67948085 0.01223326 0.30828595],positive,0.6672476,2021-02-17 17:49:11
209,[0.06317461 0.034157   0.90266836],neutral,0.029017612,2021-02-17 14:56:35
210,[0.16804671 0.0149815  0.81697184],neutral,0.1530652,2021-02-17 12:11:57
211,[0.9121382  0.01907071 0.06879099],positive,0.8930675,2021-02-17 10:44:20
212,[0.44447294 0.00893079 0.5465962 ],neutral,0.43554214,2021-02-17 10:06:08
213,[0.876799   0.00896445 0.11423651],positive,0.8678345,2021-02-17 09:57:00
214,[0.7649627  0.00903723 0.22600013],positive,0.7559254,2021-02-17 09:32:51
215,[0.609159   0.04809055 0.3427505 ],positive,0.5610684,2021-02-17 06:14:00
216,[0.8631606  0.01480664 0.12203278],positive,0.848354,2021-02-17 06:02:00
217,[0.9364466  0.02320806 0.04034536],positive,0.9132385,2021-02-17 01:38:00
218,[0.9308584  0.01654637 0.05259525],positive,0.914312,2021-02-16 19:05:00
219,[0.05981922 0.015725   0.9244558 ],neutral,0.04409422,2021-02-16 15:02:31
220,[0.9471597  0.01882528 0.03401496],positive,0.9283344,2021-02-16 13:59:00
221,[0.04887949 0.86653733 0.08458319],negative,-0.8176578,2021-02-16 13:35:31
222,[0.09684999 0.01869583 0.88445425],neutral,0.078154154,2021-02-16 13:06:24
223,[0.88581926 0.01222728 0.10195351],positive,0.87359196,2021-02-16 10:41:38
224,[0.28369433 0.12364943 0.59265625],neutral,0.1600449,2021-02-16 09:30:04
225,[0.6049696  0.15698738 0.238043  ],positive,0.44798225,2021-02-15 20:01:15
226,[0.01849149 0.9257896  0.05571897],negative,-0.9072981,2021-02-15 12:35:14
227,[0.04769121 0.02354171 0.92876714],neutral,0.024149498,2021-02-15 10:53:54
228,[0.6396247  0.0100339  0.35034138],positive,0.6295908,2021-02-15 07:31:47
229,[0.85312784 0.00808747 0.13878478],positive,0.8450404,2021-02-15 07:26:51
230,[0.08260869 0.8639835  0.05340774],negative,-0.7813748,2021-02-15 04:48:00
231,[0.12601587 0.02634741 0.8476367 ],neutral,0.099668466,2021-02-15 00:47:00
232,[0.07915888 0.01492178 0.9059193 ],neutral,0.0642371,2021-02-14 11:55:45
233,[0.8966332  0.01241793 0.09094889],positive,0.8842153,2021-02-14 05:51:00
234,[0.70042396 0.21704651 0.0825295 ],positive,0.48337746,2021-02-12 13:06:00
235,[0.061807   0.02794702 0.91024595],neutral,0.03385998,2021-02-12 11:57:09
236,[0.10136257 0.02810469 0.8705327 ],neutral,0.07325788,2021-02-12 11:15:03
237,[0.35812378 0.01887674 0.6229995 ],neutral,0.33924705,2021-02-12 07:51:07
238,[0.46737728 0.42796943 0.10465331],positive,0.03940785,2021-02-12 06:42:42
239,[0.050235   0.02082975 0.92893517],neutral,0.029405251,2021-02-12 06:35:00
240,[0.0212202  0.8649879  0.11379194],negative,-0.8437677,2021-02-12 05:58:43
241,[0.09509848 0.01186193 0.8930395 ],neutral,0.08323655,2021-02-12 05:56:00
242,[0.6316013  0.01118585 0.35721284],positive,0.62041545,2021-02-12 05:43:46
243,[0.00876597 0.9687396  0.02249445],negative,-0.95997363,2021-02-12 01:42:00
244,[0.05075809 0.01732788 0.931914  ],neutral,0.033430208,2021-02-11 07:07:00
245,[0.9253526  0.01604278 0.05860458],positive,0.9093098,2021-02-10 14:28:20
246,[0.25421354 0.00999884 0.73578763],neutral,0.2442147,2021-02-10 12:51:08
247,[0.6760684  0.02951193 0.2944196 ],positive,0.6465565,2021-02-10 11:05:00
248,[0.4644868  0.01253077 0.5229824 ],neutral,0.45195603,2021-02-10 10:50:42
249,[0.20589553 0.05418598 0.73991853],neutral,0.15170956,2021-02-10 10:29:00
250,[0.19878311 0.01618899 0.7850279 ],neutral,0.18259412,2021-02-10 09:50:03
251,[0.6276278  0.0080869  0.36428538],positive,0.61954087,2021-02-10 08:50:12
252,[0.8210763  0.0074322  0.17149144],positive,0.81364405,2021-02-10 07:30:59
253,[0.5114867  0.2064047  0.28210858],positive,0.30508202,2021-02-10 06:46:23
254,[0.16106728 0.05378841 0.78514427],neutral,0.10727887,2021-02-09 17:24:19
255,[0.2454527 0.0099663 0.744581 ],neutral,0.2354864,2021-02-09 14:59:02
256,[0.9304304  0.01040879 0.05916074],positive,0.9200216,2021-02-09 09:06:16
257,[0.61713916 0.02819917 0.35466164],positive,0.58893996,2021-02-09 03:09:14
258,[0.5052015  0.33889818 0.1559003 ],positive,0.16630334,2021-02-09 02:59:21
259,[0.03562719 0.03750322 0.9268696 ],neutral,-0.0018760376,2021-02-09 02:36:57
260,[0.05569706 0.82343775 0.12086516],negative,-0.76774067,2021-02-08 13:28:33
261,[0.83932287 0.01530529 0.14537184],positive,0.8240176,2021-02-08 12:00:00
262,[0.94295394 0.0272385  0.02980757],positive,0.91571546,2021-02-08 10:43:28
263,[0.9519111 0.0201458 0.027943 ],positive,0.9317653,2021-02-08 09:01:00
264,[0.04084706 0.02927349 0.9298794 ],neutral,0.011573572,2021-02-07 19:40:56
265,[0.11885285 0.01072471 0.8704225 ],neutral,0.108128145,2021-02-07 13:40:12
266,[0.8663912  0.00859087 0.12501793],positive,0.8578003,2021-02-06 09:00:00
267,[0.8527926  0.06923553 0.07797194],positive,0.7835571,2021-02-06 08:00:00
268,[0.3119722  0.01068441 0.67734337],neutral,0.3012878,2021-02-06 06:50:00
269,[0.04448028 0.01866517 0.93685454],neutral,0.025815113,2021-02-05 11:57:26
270,[0.02175493 0.03875676 0.93948823],neutral,-0.017001826,2021-02-05 11:00:59
271,[0.36605376 0.02296991 0.61097634],neutral,0.34308386,2021-02-05 06:20:39
272,[0.27145705 0.16438907 0.56415385],neutral,0.10706797,2021-02-05 02:55:41
273,[0.01314001 0.9235214  0.06333868],negative,-0.9103814,2021-02-05 02:29:38
274,[0.02793803 0.88870054 0.08336149],negative,-0.86076254,2021-02-04 21:03:00
275,[0.17301823 0.49669763 0.3302841 ],negative,-0.3236794,2021-02-04 21:02:11
276,[0.02765675 0.06470523 0.90763795],neutral,-0.03704848,2021-02-04 20:22:00
277,[0.01133729 0.95475465 0.03390802],negative,-0.9434174,2021-02-04 19:30:39
278,[0.4004969  0.25935158 0.3401515 ],positive,0.14114532,2021-02-04 18:30:34
279,[0.83781284 0.00702691 0.15516019],positive,0.83078593,2021-02-04 16:28:16
280,[0.9439322  0.03599339 0.02007441],positive,0.9079388,2021-02-04 15:52:06
281,[0.8427381  0.00768423 0.14957763],positive,0.83505386,2021-02-04 13:51:50
282,[0.0294134  0.10678414 0.86380243],neutral,-0.07737074,2021-02-04 13:17:00
283,[0.4840517  0.02238029 0.49356806],neutral,0.4616714,2021-02-04 12:07:10
284,[0.33854985 0.01940848 0.6420416 ],neutral,0.31914136,2021-02-04 11:15:31
285,[0.38212088 0.02335101 0.59452814],neutral,0.35876986,2021-02-04 10:25:08
286,[0.9004712  0.05680779 0.04272101],positive,0.8436634,2021-02-04 08:00:00
287,[0.05969704 0.0180757  0.92222726],neutral,0.041621342,2021-02-04 07:10:52
288,[0.07417418 0.01804551 0.9077803 ],neutral,0.056128673,2021-02-04 03:38:00
289,[0.01536075 0.86126804 0.12337116],negative,-0.8459073,2021-02-04 00:29:11
290,[0.00786386 0.95743513 0.03470093],negative,-0.94957125,2021-02-03 21:26:00
291,[0.21940543 0.0124946  0.76809996],neutral,0.20691083,2021-02-03 15:51:00
292,[0.87915796 0.0148932  0.10594877],positive,0.8642648,2021-02-03 15:49:32
293,[0.8763636  0.10412309 0.01951337],positive,0.7722405,2021-02-03 13:48:36
294,[0.0498001  0.02033748 0.92986244],neutral,0.029462622,2021-02-03 13:44:21
295,[0.9498468  0.02041045 0.02974277],positive,0.9294364,2021-02-03 13:25:56
296,[0.18377155 0.00935404 0.80687433],neutral,0.17441751,2021-02-03 12:23:38
297,[0.9437878  0.02688877 0.02932342],positive,0.916899,2021-02-03 12:11:00
298,[0.7878739  0.132265   0.07986107],positive,0.6556089,2021-02-03 12:06:00
299,[0.05463917 0.591395   0.3539658 ],negative,-0.53675586,2021-02-03 11:37:36
300,[0.01524643 0.93666553 0.04808806],negative,-0.9214191,2021-02-03 11:00:01
301,[0.9335242  0.03641021 0.03006561],positive,0.897114,2021-02-03 10:29:00
302,[0.947714   0.02730508 0.02498095],positive,0.9204089,2021-02-03 10:28:59
303,[0.9513314  0.02083469 0.02783393],positive,0.9304967,2021-02-03 10:21:16
304,[0.02648577 0.03664072 0.9368735 ],neutral,-0.010154953,2021-02-03 10:01:09
305,[0.0338364  0.93642014 0.02974346],negative,-0.9025837,2021-02-03 10:00:00
306,[0.11688507 0.0151103  0.86800456],neutral,0.101774774,2021-02-03 09:54:58
307,[0.95412016 0.01906555 0.02681428],positive,0.9350546,2021-02-03 09:44:25
308,[0.06305832 0.87056756 0.06637406],negative,-0.80750924,2021-02-03 09:00:36
309,[0.95789844 0.02076051 0.02134107],positive,0.93713796,2021-02-03 08:21:21
310,[0.02727333 0.76325804 0.20946865],negative,-0.7359847,2021-02-03 07:38:39
311,[0.9323993  0.01822115 0.04937956],positive,0.91417813,2021-02-03 07:23:16
312,[0.03475795 0.04854329 0.9166988 ],neutral,-0.013785344,2021-02-03 07:10:59
313,[0.896762   0.01207355 0.09116439],positive,0.88468844,2021-02-03 06:54:51
314,[0.95261157 0.01855299 0.02883547],positive,0.93405855,2021-02-03 06:41:11
